ID	Bacteria	Host
AgProtect_1821	Bordetella_pertussis	Homo_sapiens
AgProtect_1820	Bacillus_anthracis	Homo_sapiens;Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus;Equus_ferus_caballus
AgProtect_182	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1819	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1818	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1817	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1816	Neisseria_meningitidis	Homo_sapiens
AgProtect_1815	Vibrio_parahaemolyticus	Homo_sapiens;Sparus_aurata;Mugil_cephalus;Dicentrarchus_labrax;Oreochromis_niloticus
AgProtect_1814	Salmonella_enterica_serovar_choleraesuis	Sus_scrofa
AgProtect_1813	Mycobacterium_tuberculosis	Homo_sapiens;Sus_scrofa;Canis_familiaris;Cavia_porcellus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1812	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1811	Streptococcus_agalactiae	Homo_sapiens;Bos_taurus;Capra_aegagrus_hircus;Gallus_gallus;Oreochromis_niloticus;Ictalurus_punctatus
AgProtect_1810	Helicobacter_pylori	Homo_sapiens
AgProtect_181	Mycobacterium_tuberculosis	Homo_sapiens;Sus_scrofa;Canis_familiaris;Cavia_porcellus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1809	Chlamydia_trachomatis	Homo_sapiens
AgProtect_1808	Salmonella_enterica_serovar_Typhimurium	Homo_sapiens;Bos_taurus;Sus_scrofa;Equus_ferus_caballus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1807	Listeria_monocytogenes	Homo_sapiens;Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus;Sus_scrofa;Gallus_gallus;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Canis_familiaris;Meleagris_gallopavo_domesticus
AgProtect_1806	Helicobacter_pylori	Homo_sapiens
AgProtect_1805	Streptococcus_pneumoniae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1804	Helicobacter_pylori	Homo_sapiens
AgProtect_1803	Clostridium_perfringens	Homo_sapiens;Gallus_gallus;Equus_ferus_caballus;Sus_scrofa;Bos_taurus;Canis_familiaris
AgProtect_1802	Escherichia_coli	Homo_sapiens;Sus_scrofa;Gallus_gallus;Ovis_orientalis_aries;Bos_taurus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1801	Streptococcus_agalactiae	Homo_sapiens;Bos_taurus;Capra_aegagrus_hircus;Gallus_gallus;Oreochromis_niloticus;Ictalurus_punctatus
AgProtect_1800	Streptococcus_agalactiae	Homo_sapiens;Bos_taurus;Capra_aegagrus_hircus;Gallus_gallus;Oreochromis_niloticus;Ictalurus_punctatus
AgProtect_180	Mycobacterium_tuberculosis	Homo_sapiens;Sus_scrofa;Canis_familiaris;Cavia_porcellus;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_18	Chlamydia_muridarum	Mus_musculus
AgProtect_1799	Streptococcus_agalactiae	Homo_sapiens;Bos_taurus;Capra_aegagrus_hircus;Gallus_gallus;Oreochromis_niloticus;Ictalurus_punctatus
AgProtect_1798	Salmonella_enterica_serovar_Typhimurium	Homo_sapiens;Bos_taurus;Sus_scrofa;Equus_ferus_caballus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1797	Salmonella_enterica_serovar_Typhimurium	Homo_sapiens;Bos_taurus;Sus_scrofa;Equus_ferus_caballus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1796	Salmonella_enterica_serovar_Typhimurium	Homo_sapiens;Bos_taurus;Sus_scrofa;Equus_ferus_caballus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1795	Salmonella_enterica_serovar_Enteritidis	Homo_sapiens
AgProtect_1794	Salmonella_enterica_serovar_Enteritidis	Homo_sapiens
AgProtect_1793	Salmonella_enterica_serovar_Enteritidis	Homo_sapiens
AgProtect_1792	Salmonella_enterica_serovar_Enteritidis	Homo_sapiens
AgProtect_1791	Salmonella_enterica_serovar_Enteritidis	Homo_sapiens
AgProtect_1790	Porphyromonas_gingivalis	Homo_sapiens
AgProtect_179	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1789	Porphyromonas_gingivalis	Homo_sapiens
AgProtect_1788	Pasteurella_multocida	Homo_sapiens;Gallus_gallus;Meleagris_gallopavo_domesticus;Bos_taurus;Oryctolagus_cuniculus_domesticus;Sus_scrofa;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1787	Pasteurella_multocida	Homo_sapiens;Gallus_gallus;Meleagris_gallopavo_domesticus;Bos_taurus;Oryctolagus_cuniculus_domesticus;Sus_scrofa;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1786	Pasteurella_multocida	Homo_sapiens;Gallus_gallus;Meleagris_gallopavo_domesticus;Bos_taurus;Oryctolagus_cuniculus_domesticus;Sus_scrofa;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1785	Pasteurella_multocida	Homo_sapiens;Gallus_gallus;Meleagris_gallopavo_domesticus;Bos_taurus;Oryctolagus_cuniculus_domesticus;Sus_scrofa;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1784	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1783	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1782	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1781	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1780	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_178	Haemophilus_influenzae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1779	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1778	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1777	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1776	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1775	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1774	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1773	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1772	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1771	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1770	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_177	Haemophilus_influenzae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1769	Ornithobacterium_rhinotracheale	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1768	Neisseria_meningitidis	Homo_sapiens
AgProtect_1767	Mycoplasmopsis_synoviae	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1766	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
